workerid,proliferate.condition,color,expressions,modal,order,percentage_blue,rating,sentence,error
181,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,97,0,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,97,0.8,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,might,possible-probably-might,97,0,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,other,possible-probably-might,97,0.19999999999999996,something else,
181,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,50,0.35,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,50,0.35,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,might,possible-probably-might,50,0.30000000000000004,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,other,possible-probably-might,50,0,something else,
181,might-possible-could,orange,might-possible-probably,might,might-possible-probably,4,0,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,4,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,4,0.71,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,other,might-possible-probably,4,0.29000000000000004,something else,
181,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,40,0.19999999999999996,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,might,possible-might-probably,40,0.2,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,40,0.6,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,other,possible-might-probably,40,0,something else,
181,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,90,0,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,might,possible-might-probably,90,0,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,90,0.72,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,other,possible-might-probably,90,0.28,something else,
181,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,97,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,might,possible-might-probably,97,0.09,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,97,0,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,other,possible-might-probably,97,0.91,something else,
181,might-possible-could,orange,might-possible-probably,might,might-possible-probably,0,0,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,0,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,0,0,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,other,might-possible-probably,0,1,something else,
181,might-possible-could,orange,might-possible-probably,might,might-possible-probably,10,0,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,10,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,10,0.78,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,other,might-possible-probably,10,0.21999999999999983,something else,
181,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,25,0.45,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,might,possible-might-probably,25,0.46,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,25,0,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,other,possible-might-probably,25,0.09000000000000008,something else,
181,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,60,0.3899999999999999,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,60,0,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,might,possible-probably-might,60,0.39,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,other,possible-probably-might,60,0.22,something else,
181,might-possible-could,blue,might-possible-probably,probably,probably-possible-might,94,0.67,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,possible,probably-possible-might,94,0,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,might,probably-possible-might,94,0,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,other,probably-possible-might,94,0.33000000000000007,something else,
181,might-possible-could,orange,might-possible-probably,might,might-probably-possible,7,0,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,7,0.75,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,7,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,other,might-probably-possible,7,0.25,something else,
181,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,50,0.45,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,50,0,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,might,possible-probably-might,50,0.46,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,other,possible-probably-might,50,0.09000000000000008,something else,
181,might-possible-could,orange,might-possible-probably,might,might-probably-possible,94,0.16000000000000003,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,94,0,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,94,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,other,might-probably-possible,94,0.84,something else,
181,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,100,0,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,100,0,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,might,possible-probably-might,100,0,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,other,possible-probably-might,100,1,something else,
181,might-possible-could,blue,might-possible-probably,might,might-possible-probably,0,0,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,possible,might-possible-probably,0,0,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,might-possible-probably,0,0,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,other,might-possible-probably,0,1,something else,
181,might-possible-could,blue,might-possible-probably,might,might-possible-probably,4,0.07,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,possible,might-possible-probably,4,0.06,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,might-possible-probably,4,0,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,other,might-possible-probably,4,0.8700000000000001,something else,
181,might-possible-could,orange,might-possible-probably,might,might-probably-possible,25,0.19,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,25,0.69,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,25,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,other,might-probably-possible,25,0.12,something else,
195,might-possible-could,orange,might-possible-probably,might,might-probably-possible,100,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,100,0,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,100,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,other,might-probably-possible,100,1,something else,
195,might-possible-could,blue,might-possible-probably,might,might-probably-possible,4,0.03,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,4,0,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,4,0.43,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,other,might-probably-possible,4,0.5399999999999999,something else,
195,might-possible-could,blue,might-possible-probably,might,might-probably-possible,60,0.6,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,60,0.10999999999999988,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,60,0.29000000000000015,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,other,might-probably-possible,60,0,something else,
195,might-possible-could,blue,might-possible-probably,might,might-probably-possible,25,0.37,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,25,0,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,25,0.6299999999999999,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,other,might-probably-possible,25,0,something else,
195,might-possible-could,blue,might-possible-probably,probably,probably-might-possible,40,0.14,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,might,probably-might-possible,40,0.4600000000000001,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,probably-might-possible,40,0.4,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,other,probably-might-possible,40,0,something else,
195,might-possible-could,blue,might-possible-probably,might,might-probably-possible,97,0,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,97,1,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,97,0,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,other,might-probably-possible,97,0,something else,
195,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,0,0,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,0,0,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,might,possible-probably-might,0,0,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,other,possible-probably-might,0,1,something else,
195,might-possible-could,blue,might-possible-probably,might,might-possible-probably,94,0,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,might-possible-probably,94,0,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,might-possible-probably,94,1,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,other,might-possible-probably,94,0,something else,
195,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,25,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,might,possible-might-probably,25,0.1299999999999999,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,25,0.87,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,other,possible-might-probably,25,0,something else,
195,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,60,0.36,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,60,0,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,might,possible-probably-might,60,0.64,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,other,possible-probably-might,60,0,something else,
195,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,75,0,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,might,probably-might-possible,75,0.21999999999999983,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,75,0.78,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,other,probably-might-possible,75,0,something else,
195,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,90,0,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,might,possible-might-probably,90,0,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,90,1,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,other,possible-might-probably,90,0,something else,
195,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,7,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,7,1,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,might,possible-probably-might,7,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,other,possible-probably-might,7,0,something else,
195,might-possible-could,orange,might-possible-probably,might,might-possible-probably,97,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,97,0.62,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,97,0,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,other,might-possible-probably,97,0.3800000000000001,something else,
195,might-possible-could,blue,might-possible-probably,might,might-possible-probably,100,0,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,might-possible-probably,100,0,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,might-possible-probably,100,0,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,other,might-possible-probably,100,1,something else,
195,might-possible-could,orange,might-possible-probably,probably,probably-possible-might,4,1,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,probably-possible-might,4,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,might,probably-possible-might,4,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,other,probably-possible-might,4,0,something else,
195,might-possible-could,blue,might-possible-probably,probably,probably-possible-might,10,0,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,probably-possible-might,10,0.52,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,might,probably-possible-might,10,0,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,other,probably-possible-might,10,0.4800000000000001,something else,
195,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,10,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,might,possible-might-probably,10,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,10,1,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,other,possible-might-probably,10,0,something else,
195,might-possible-could,blue,might-possible-probably,might,might-probably-possible,75,0.3,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,75,0.7,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,75,0,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,other,might-probably-possible,75,0,something else,
195,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,50,0.33,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,might,possible-might-probably,50,0.67,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,50,0,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,other,possible-might-probably,50,0,something else,
195,might-possible-could,orange,might-possible-probably,might,might-possible-probably,90,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,90,0.42,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,90,0,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,other,might-possible-probably,90,0.58,something else,
195,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,50,0.3,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,might,probably-might-possible,50,0.7000000000000001,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,50,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,other,probably-might-possible,50,0,something else,
195,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,7,0.54,It's possible that you'll get a blue one,
195,might-possible-could,blue,might-possible-probably,might,possible-might-probably,7,0,You might get a blue one,
195,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,7,0,You'll probably get a blue one,
195,might-possible-could,blue,might-possible-probably,other,possible-might-probably,7,0.46,something else,
195,might-possible-could,orange,might-possible-probably,might,might-probably-possible,0,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,0,0,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,0,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,other,might-probably-possible,0,1,something else,
195,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,94,1,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,94,0,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,might,possible-probably-might,94,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,other,possible-probably-might,94,0,something else,
195,might-possible-could,orange,might-possible-probably,probably,probably-possible-might,40,1,You'll probably get an orange one,
195,might-possible-could,orange,might-possible-probably,possible,probably-possible-might,40,0,It's possible that you'll get an orange one,
195,might-possible-could,orange,might-possible-probably,might,probably-possible-might,40,0,You might get an orange one,
195,might-possible-could,orange,might-possible-probably,other,probably-possible-might,40,0,something else,
204,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,90,0.52,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,might,possible-might-probably,90,0.06999999999999984,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,90,0.41000000000000014,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,other,possible-might-probably,90,0,something else,
204,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,50,0.63,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,50,0.12,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,might,possible-probably-might,50,0.25,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,other,possible-probably-might,50,0,something else,
204,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,97,0.11,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,97,0,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,might,possible-probably-might,97,0.49,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,other,possible-probably-might,97,0.40000000000000013,something else,
204,might-possible-could,orange,might-possible-probably,might,might-possible-probably,10,0.17,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,10,0.12,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,10,0.71,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,other,might-possible-probably,10,0,something else,
204,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,4,0.81,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,might,probably-might-possible,4,0,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,4,0.19,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,other,probably-might-possible,4,0,something else,
204,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,100,0,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,might,possible-might-probably,100,0,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,100,0,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,other,possible-might-probably,100,1,something else,
204,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,4,0.2,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,might,possible-might-probably,4,0,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,4,0,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,other,possible-might-probably,4,0.8,something else,
204,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,25,0,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,25,0.67,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,might,possible-probably-might,25,0.32999999999999996,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,other,possible-probably-might,25,0,something else,
204,might-possible-could,blue,might-possible-probably,might,might-possible-probably,75,0.68,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,possible,might-possible-probably,75,0,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,might-possible-probably,75,0,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,other,might-possible-probably,75,0.31999999999999984,something else,
204,might-possible-could,orange,might-possible-probably,probably,probably-possible-might,7,0.75,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,possible,probably-possible-might,7,0,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,might,probably-possible-might,7,0.2500000000000001,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,other,probably-possible-might,7,0,something else,
204,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,94,0.18,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,might,possible-might-probably,94,1.1102230246251563e-16,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,94,0,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,other,possible-might-probably,94,0.82,something else,
204,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,10,0.25,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,might,possible-might-probably,10,0,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,10,0,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,other,possible-might-probably,10,0.75,something else,
204,might-possible-could,blue,might-possible-probably,probably,probably-might-possible,97,0.57,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,might,probably-might-possible,97,0.38,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,possible,probably-might-possible,97,0,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,other,probably-might-possible,97,0.050000000000000155,something else,
204,might-possible-could,blue,might-possible-probably,might,might-possible-probably,94,0,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,possible,might-possible-probably,94,0,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,might-possible-probably,94,0.75,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,other,might-possible-probably,94,0.25,something else,
204,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,100,0,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,100,0.68,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,might,possible-probably-might,100,0,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,other,possible-probably-might,100,0.32000000000000006,something else,
204,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,25,0.45,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,might,possible-might-probably,25,0.44,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,25,0,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,other,possible-might-probably,25,0.1100000000000001,something else,
204,might-possible-could,blue,might-possible-probably,might,might-probably-possible,0,0,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,0,0,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,0,0,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,other,might-probably-possible,0,1,something else,
204,might-possible-could,blue,might-possible-probably,probably,probably-might-possible,40,0,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,might,probably-might-possible,40,0.5000000000000001,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,possible,probably-might-possible,40,0.5,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,other,probably-might-possible,40,0,something else,
204,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,50,0,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,might,probably-might-possible,50,0.6000000000000001,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,50,0.4,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,other,probably-might-possible,50,0,something else,
204,might-possible-could,orange,might-possible-probably,might,might-possible-probably,40,0,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,40,0.75,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,40,0.25,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,other,might-possible-probably,40,0,something else,
204,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,0,0.78,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,might,probably-might-possible,0,0,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,0,0,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,other,probably-might-possible,0,0.21999999999999997,something else,
204,might-possible-could,orange,might-possible-probably,probably,probably-possible-might,90,0,You'll probably get an orange one,
204,might-possible-could,orange,might-possible-probably,possible,probably-possible-might,90,0.45,It's possible that you'll get an orange one,
204,might-possible-could,orange,might-possible-probably,might,probably-possible-might,90,0.49,You might get an orange one,
204,might-possible-could,orange,might-possible-probably,other,probably-possible-might,90,0.06000000000000005,something else,
204,might-possible-could,blue,might-possible-probably,probably,probably-might-possible,7,0,You'll probably get a blue one,
204,might-possible-could,blue,might-possible-probably,might,probably-might-possible,7,0.16999999999999993,You might get a blue one,
204,might-possible-could,blue,might-possible-probably,possible,probably-might-possible,7,0.4,It's possible that you'll get a blue one,
204,might-possible-could,blue,might-possible-probably,other,probably-might-possible,7,0.43,something else,
204,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,60,0.44,It's possible that you'll get an orange one,
